Node	mae	mase	hits
CAL_CALGT1	0.103590	0.807296	0.099107
KING_KINGNW	0.103322	0.858099	0.094548
MAR_MARSFOG1	0.117608	0.975599	0.102083
CALAVER_JKS1	0.084232	0.615944	0.120241
RAYB_G78910	0.093097	0.766637	0.131922
WOO_WOODWRD1	0.084979	0.837451	0.103052
DECKER_DPG2	0.092472	0.701649	0.122924
CEL_CELANEG1	0.100432	0.755890	0.108413
FO_FORMOSG3	0.106983	0.852218	0.102026
NUE_NUECESG7	0.053395	0.847316	0.071958
