Node	mae	mase	hits
CAL_CALGT1	0.136741	1.070810	0.069362
KING_KINGNW	0.123206	1.028530	0.051206
MAR_MARSFOG1	0.129110	1.076226	0.078310
CALAVER_JKS1	0.121561	0.893363	0.037691
RAYB_G78910	0.120025	0.993425	0.029159
WOO_WOODWRD1	0.111805	1.106489	0.055014
DECKER_DPG2	0.128317	0.978009	0.053045
CEL_CELANEG1	0.121687	0.920533	0.046101
FO_FORMOSG3	0.134873	1.079715	0.072421
NUE_NUECESG7	0.059387	0.947277	0.022061
